case_id	partition	operation	implementation	execution_class	frame_id	source_model_id	expected_source_epoch_hex	catalog_fixture_id	expected_result	expected_error_code	expected_reencode_frame_id	combined_precedence	coverage_tags	input_identity_sha256	expected_output_sha256	case_binding_sha256
decode-test-toy-repeated-candidate	native-decoder	decode	native	concrete-frame	frame-test-toy-repeated-candidate	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	-	structural-success	48fa91aa618d0b0688639e67a217a924321a84334dbf894a4b53710ec3481c02	-	7ccec1f67f0033dd50f7cb41e294617ae409be42c02d8640b23a21e0ee7eb520
decode-test-toy-single	native-decoder	decode	native	concrete-frame	frame-test-toy-single	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	301e282dec76985d4b6e19396fb38d33f76005c426c63b5691a391b89e9d2f2d	-	b792ec0426391685ce18453647c1d48af7c16d16488dc6420ca978444cbb69ba
decode-trailing-byte	native-decoder	decode	native	concrete-frame	frame-trailing-byte	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	99fdc237fb36e7886aab87f038fcabc9535b09455aefbf3d29224b86ef36d260	-	06fd11315402f3dd24aa6bb71b95118ec4091dbc1b5171b859d26b67dc35e132
decode-trailing-byte-rebound	native-decoder	decode	native	concrete-frame	frame-trailing-byte-rebound	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	31a2c93b84f2bced96035b0fe440a184e637db62dc780bcc154b45a00ab8db23	-	2f61f6c1b18b20d6c5448a3367dcccecaadec4db62ffc1c188ee45beb85dd00d
decode-truncated-body	native-decoder	decode	native	concrete-frame	frame-truncated-body	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	2a125ed574492a3649e5715288d43812736a289f92554f4f48ef38e0a7c0f4b1	-	1e2ea5e2aed31736b59cdf0e8a1c111a9f999677e53cf8ad73fb1e1b15cf8785
decode-truncated-header	native-decoder	decode	native	concrete-frame	frame-truncated-header	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	be4089c170897100f2c9864d0e97784091c087f65177e435bc0b68023ea3ebca	-	c230509a2a24888ea6885c9c937e58e7bae8e9087f4407d9ea05745f38221f13
decode-unknown-manifest	native-decoder	decode	native	concrete-frame	frame-unknown-manifest	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	96dbbea351c51ee04fac7f5d0556f9e66be55c1382e93878e0701dfe18265f6b	-	e9da9d14f110cb2f5ce6eeab01f9cf462f218273d4b8ea6bfa3f2c113ed4b98d
decode-wrong-header-length	native-decoder	decode	native	concrete-frame	frame-wrong-header-length	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	2	-	frozen-order	structural	2b54154214525ddfb43aa685e69f46f53c2a221a0eee2eee7af9fe949b548bf0	-	23ba640f147fa201240d3c05edde0c352ebdba8f5223f8ef77bf1f2286d53fa5
decode-wrong-magic	native-decoder	decode	native	concrete-frame	frame-wrong-magic	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	2	-	frozen-order	structural	9a530e610e4a440c13f32d4e28884dfd155bad4504dd4290c413706fed5fffb0	-	a506eada13e24c20ba7d559efc7a39d52028bbd9f37ec58025faf700431e421e
decode-wrong-pegged-asset	native-decoder	decode	native	concrete-frame	frame-wrong-pegged-asset	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	c41a753122c5ccb06091527f35d31eca10801eee169ccc6d802d25a0fe36c033	-	99f9f0fe77a15b2cf28214ba80df4648670aca354d48266c65dd16a6b4ec689a
decode-wrong-profile-address	native-decoder	decode	native	concrete-frame	frame-wrong-profile-address	-	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	frozen-order	structural	899b76f96ff6deaafc9e3f954e392249487e72f16e2af9e4bc67a859859f7ed8	-	e39eb13dbda19d2239fd8bab2c49edbf112d82e8089cb97a3a5cb2b76e886398
decode-wrong-version	native-decoder	decode	native	concrete-frame	frame-wrong-version	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	2	-	frozen-order	structural	4ca60fbe02a7737fd66dcb41bd0e4eef959a09726d90fde6364e3b1e89ad33b1	-	314c5edd1243691ec0c733b0b559d28beb49d3e7c389a6b7b7643c4278842db1
decode-zero-asset-before-numeric	native-decoder	decode	native	concrete-frame	frame-combined-zero-asset-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	numeric-before-structural	combined-defect	45f46a4ce4deddb0d9c2794fe857bd775ea3a4b9b271a63d5ce911606a4a1c26	-	8fceec28d54c466f998c680b28dbddc2ecfa807697aeab26bc1da0b489ec0275
decode-zero-expected-epoch	native-decoder	decode	native	concrete-frame	frame-test-toy-single	-	0000000000000000000000000000000000000000000000000000000000000000	-	error	1	-	invalid-argument	zero-expected-source	301e282dec76985d4b6e19396fb38d33f76005c426c63b5691a391b89e9d2f2d	-	ac3fc7e9002a452dd0be3f4af65f5c5cbf780bfaa845f27ace332ebcc245ef12
decode-zero-manifest	native-decoder	decode	native	concrete-frame	frame-zero-manifest	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	4d9f4d156d393f79602578402ffb5375cd36c8a0f866e7707868b4777c7ccbaf	-	c9ba24a9cf015157bb5f37b325df0fc0f7294843aa95fa8a6c2793eb4e530f1a
decode-zero-pegged-asset	native-decoder	decode	native	concrete-frame	frame-zero-pegged-asset	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	64ccdef9c301b71d596e60f8e5e05dacd147d0e8cf0d8ec81539b0dc357b9674	-	6a6a4a2737329d1361301ecaada0ca2348bba6884606d485577269088f21852d
decode-zero-selected-asset	native-decoder	decode	native	concrete-frame	frame-zero-selected-asset	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	16043303f6c647e6d9f59a82bf675e43b44ecaa3605099ec2e4f2849c539cb1e	-	e0a95ddec65732f1707e9b451782e787e98cf592c99ed00094fe330bb081491f
decode-zero-selected-txid	native-decoder	decode	native	concrete-frame	frame-zero-selected-txid	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	ed164ca36456290dc82fb71e2ea3f51748a1e36556fff35d8608d68c6c6cf7b2	-	a67c12ea13c3a08329db824318abdcd8af06c66926561cba426ea94cfa01bcbc
decode-zero-source	native-decoder	decode	native	concrete-frame	frame-zero-source	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	structural	b05ad58770b2574e1d7441bfc926fcd8c7433927dd5559fcab6c44d4df7d2d86	-	375f2a6f740c55dc26a8eea4dc7b08d58bf356eec65c9a2e1ec215fd303dc4cc
decode-zero-txid-before-numeric	native-decoder	decode	native	concrete-frame	frame-combined-zero-txid-value	-	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	numeric-before-structural	combined-defect	a475a3e78195980e5cf20294c3c8387682fc5253d386c1fdfbb59d2ba240111b	-	fe4c2dd559d39f1a44cf89e6560fcf6bb807942ba9b3efacb7df077ce072af9d
managed-batch-accepted	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-accepted	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	-	accepted	974a4a3a2c8e027fbb6e5965e2ce14b047c552f20126cf18f7a85180f544dbbb	-	d13c543b50895ac57b537dbf6f9976f6c713b3bdb2b2fe9e9b5cf9dca2e5f1b2
managed-batch-disposed-row	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-disposed-row	4141414141414141414141414141414141414141414141414141414141414141	-	lifecycle	0	-	object-disposed	disposed-row	7af4e0bd16807792ee44fbb45d2074db6b8b4051ad5862884753918014f62b88	-	3813e166ee550ebf9fedc2d244cef114473b098eeefb50de5ddfe70ec8e87cbe
managed-batch-expanded-bytes-plus-one	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-expanded-bytes-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	limit	expanded-bytes-plus-one	9159aa877e5795f79381119f4eb3000f37d0f70cba7286400ed21d3015fc91f6	-	c8cf2a6c0674b7ffa23f58c7ddbf68c59832c48239cc4f65413c16a640cff071
managed-batch-expanded-count-plus-one	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-expanded-count-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	limit	expanded-count-plus-one	bade1cc3b4357d413dd96b400afc8c6b8833c93d92bbfbfdaba88c18eb074679	-	0139f4e05108c2358c82aee898da4fdec1508035cfa438ceae6a79fdb5674852
managed-batch-null-before-disposed-row	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-null-before-disposed-row	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	null-before-lifecycle	null-before-disposed-row	6d7ed5a7b72a069e3e23596ab6e9b7f4a45a5da845e50c9bc2a0dfd9da4c01c9	-	491469be922329efd0dfadf790bc5d9197133641a9e3cbae1cc1b5a1e2f5957e
managed-batch-null-plan	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-null-plan	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	null-plan	b36151099180b2c7d10709726b9420bfd2c0795a1db267b054cf6adfe39efbbc	-	c6021bf3009f06575c50588c115ebb8186d994638eac32aa33cd1f720d7f09d0
managed-batch-null-row	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-null-row	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	null-row	57abe64acbfbc8c5f2baf969e112d2a24e01f2027ec39e946585cf7d2d66f3c0	-	e9c6a523a32736af3df98222b5c90ad2e6df08f27ccaf71f9f152eb819824078
managed-batch-null-row-collection	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-null-row-collection	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	null-row-collection	89882b4e1aab7d00c4a7fc7ead732d7e68267e03aedc45e3a7b6e479f7a9fd08	-	2f5eb902b112bc0bd1e5cbf7d5c8287b17e21a0238e07654154f603236a06ea6
managed-batch-plan-count-mismatch	managed-funding-batch	funding-batch-create	managed	symbolic-only	-	model-managed-batch-plan-count-mismatch	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	plan-count-mismatch	5f2f0ed3e8960c2dd98f403f7a88e3981ca2a1a6e8279294caa63df28b0d4d00	-	e1838ff740d216991c03d09115210466f76ac79496b9f5b1e9872849a0c3c842
managed-encoder-accepted	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-accepted	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	-	accepted	001dcefe0cde8000488814155c47ff2d52bc5cbba8ed9beeb7e16bcac9517d72	fa8cf8321c8de34a8d4d1f8c881b327bf3961520857e2480e5564ccff012153f	c5b6e70ccac567758285f1492959645252ff70d0964c29633c2723f55cdd8b2e
managed-encoder-bad-epoch-plan-batch-identity	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-bad-epoch-plan-batch-identity	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	epoch-before-identity	bad-epoch-plan-batch-identity	9fc15cc19e10500f46beb1d4963cd528892f6d9acf2ec8c3baa7a03a6f999a1d	-	db320e1b323c422f3673cbb4409e4637c49907eed663fa3815723e8e84921d1b
managed-encoder-disposed-batch	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-disposed-batch	4141414141414141414141414141414141414141414141414141414141414141	-	lifecycle	0	-	object-disposed	disposed-batch	06d01630c6c01bbd50ca9c5c049232b3aa039e6bd042bab145f783ab8de4d66c	-	dc448c0c53b15c42df5aa21b3828e92e964113a9b627c2b4fd8fee5310437086
managed-encoder-disposed-batch-bad-epoch	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-disposed-batch-bad-epoch	4141414141414141414141414141414141414141414141414141414141414141	-	lifecycle	0	-	lifecycle-before-epoch	disposed-batch-bad-epoch	ca8d4c048d883f98e0deee8217e2713edb3e83a92f747d8a0acd35ca964a633d	-	2bb55b05472ccc11da865fb2bfe1a5cd3c3e2cb4e0a264f4e92a605d0b597dd9
managed-encoder-epoch-length-long	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-epoch-length-long	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	epoch-length-long	59eaa5df069bb6c0764e9396da42cdf131adab844a33990cdcac3625b1d3b2e9	-	637c6735b7c794c230e54407bf87c9387fb933bfccd09017a8be1410ee40a514
managed-encoder-epoch-length-short	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-epoch-length-short	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	epoch-length-short	d5831cf46e731d95af2bdc6c1494af5dc2aa1b44fb4b242d0ef408631b727a08	-	a9f71c8fb1676529bf98fbbb010e521adb45f9de53df58fd344845839ede2b9f
managed-encoder-null-batch	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-null-batch	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	null-batch	31b9e1cb9da7d0c73dd0490367219f37fda87070acd72cd49aaa75a12d5cbfab	-	4aa4caee743fa55308a2ae59f8a35bd5e4648595bb976abfb14ab8b1e48cb7e0
managed-encoder-null-before-disposed-batch	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-null-before-disposed-batch	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	null-before-lifecycle	null-before-disposed-batch	8acc39e2696376f8356d52e90bb51c3a8e75db5eaf358540c1a87a41f6291ad0	-	5b6c97d8344154ce3c118d4aa539ebf013789f984c6b85a390b521a4a6c80e6f
managed-encoder-null-plan	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-null-plan	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	null-plan	c59a07001cc34d3f4d935ae041614dd160f1619adacace6cffdec4128658c9e5	-	8847932aa35d750c51cdd6420f15a512942291d459b7a708711c75b2ceabe5ae
managed-encoder-plan-batch-identity	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-plan-batch-identity	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	identity-after-epoch	plan-batch-identity	f999c13a23910376cc34e4f835a4dfa59a99ba2b1721460d600fa6d13eff36d7	-	c926f32a790057abe15d3fecd9d76e8d89e3dde6210e1cdfab3849539eaf888f
managed-encoder-zero-epoch	managed-encoder	encode	managed	symbolic-only	-	model-managed-encoder-zero-epoch	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	zero-epoch	9cc3422bdaea56d0f84793423068da32c1bd620db902a285d1a3e3d94607db18	-	1ee81fd36b58f34a54d12cf3408b82287a403ee6ea9dd4e81b53fd08f9297c84
managed-row-candidate-plus-one	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-candidate-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	limit	candidate-plus-one	743ed017c29542e11512a80155c4863287f504630610de4c0d09b65d5c64fb11	-	db5961340aa1d086548c2c6f797cfc7252c0f3620394a88a576eb0da75c8d58b
managed-row-combined-null-before-length	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-combined-null-before-length	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	null-before-limit	combined-null-before-length	ade6ec08fe59b86e64ee3798511bde7ee337638e50fe2e71ed9e3a2d9d406e8c	-	d034ac60dc6a531ca747f4005c5cb408f9320cd1afe2eae92e8682b7cbccb51c
managed-row-combined-null-before-order	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-combined-null-before-order	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	null-before-encoding	combined-null-before-order	21110566fe795b5f7aad0943d28ce77f9fa5cc87dedf5b6eae1aec4258154e85	-	0a7dcf3669825d54b59ce909a7bf38fd5bd93f3e383353b362baa45da30b7cef
managed-row-empty-candidate	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-empty-candidate	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	limit	empty-candidate	b058d1e785b44667cc87a7e7eb5ac381e8f01abbf752ae0cd0e7ca80dd44ca16	-	1ce171fd08a38499b71f4d3e7a58fb167f5ea9fa303b35c799fa6fe7cae9a938
managed-row-empty-previous	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-empty-previous	4141414141414141414141414141414141414141414141414141414141414141	-	ok	0	-	-	empty-previous	722be9618d03e866d983cf53eb709354ed7b420d71f6f7698b782bace3683d4c	-	459912e4978ac018d6392bf923e0829699cf858ddbaa5c10f3a13fa542d3e633
managed-row-empty-previous-payload	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-empty-previous-payload	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	limit	empty-previous-payload	01e34eca3702e96bae0fe75f5627de8807e874fa190a8b446cfe06ef9feff28b	-	4ac359978e9ead2b6b8ff2acb41b791e56e21c45fd26803c821873d56bad95a8
managed-row-null-candidate	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-null-candidate	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	null-candidate	4bce9e41b25534e0d184850168f50957323f065016232bd386e56cd4fa64b4c4	-	1b48e8443b447bd56fb38eed61714cfabff8eff710709805ccf425f3adbd24a1
managed-row-null-previous-collection	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-null-previous-collection	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	null-previous-collection	b03ff47829d4b815f43ddbe30ab209e9c170a713ed1712520a7043230ccf3c9e	-	f0164e69fd853935de621a9976034e8d2a32b56e154aff276033bc452a09f844
managed-row-null-previous-element	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-null-previous-element	4141414141414141414141414141414141414141414141414141414141414141	-	error	1	-	invalid-argument	null-previous-element	0c05f44e2b36b3fbb4006484e3f3d59f21005852933c080dc97aa0f549f84fee	-	1c60484feeda3a338bbebe23295c82f37359dd02cbe40fccf327c36b3ffb3a0b
managed-row-previous-duplicate	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-previous-duplicate	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	encoding	previous-duplicate	12ffcd5e129c34e99669ca6696b1e16b72947a5869eaf18a7bb744352da20249	-	fdc759abbc5accddd46e2801578f1e0dbc2130ac714c43805843de2813b254db
managed-row-previous-out-of-order	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-previous-out-of-order	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	encoding	previous-out-of-order	2d1456b93f8d1f570ea1eeae6c25b5095b17a90f1f30d7123654f8d5b316ff75	-	3061075a534193d45d5c9f199b37c57edeef538e5d876ae51a0e99972af02bed
managed-row-previous-plus-one	managed-funding-row	funding-row-create	managed	symbolic-only	-	model-managed-row-previous-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	limit	previous-plus-one	a11eb50f535b646a55cbfae383eab86751f386c10193c2735264c0610d038b1b	-	e41db38f5e03139ecfc3adfde5dc4a070545afa8b93ae7afe0821d992763e2de
native-encode-address-length-plus-one	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-address-length-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	address-length-plus-one	a3008c6af2462adc1423d1fe1a7a32bdbaf7c3c3d89e43161ed034bd3464031b	-	a062d9dd30f1aa28e4218bc107ff7639b1a73acb0c3f4a49f6c56effa9da5ec7
native-encode-address-length-zero	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-address-length-zero	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	address-length-zero	94c4fc9d6c66e1a140bdfb91009cde8e85bba49ee0ac32a00a5cc7449b32112e	-	2bff9a62363e25d8fedf6cfaa114052d4120ed5967d953d40f84822011d7a472
native-encode-aggregate-bytes-plus-one	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-aggregate-bytes-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	aggregate-bytes-plus-one	67e6107dd281bab78343343c6488bc26a93939286be7b4cde3c4e70341ac4b8a	-	1b5fe7aea673d1019de666948a76b681f571bbe43a8904cc01449216cd851556
native-encode-aggregate-count-plus-one	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-aggregate-count-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	aggregate-count-plus-one	6fcd106fa71905377caac57497d8481b7f6f99e983a26613f931936047695575	-	cbca73a13709a71683a03ac124705c823a2458c7a7859f34a2852ea87c044312
native-encode-conservation-asset	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-conservation-asset	4141414141414141414141414141414141414141414141414141414141414141	-	error	7	-	frozen-order	conservation-asset	29711b5f525cd9a223d5d8b7db6b0563b36604a4c06e1c5454d225e28de4d249	-	bfee3e3a384b18e7708347ac44dc435e945937a9e3ee596c94a35b6d579b77d0
native-encode-conservation-value	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-conservation-value	4141414141414141414141414141414141414141414141414141414141414141	-	error	7	-	frozen-order	conservation-value	06fd5f8a5d32cd88cd64ac705248959914815677659f3d50f8a9e0cf101cb094	-	9427ba09d581453acc4f1003380e6e051a2e6c400787c17d426af6193906dc4f
native-encode-destination-count-plus-one	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-destination-count-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	destination-count-plus-one	9a5a7c1b6c270a53477459b0a15870b87bf7f2f4465c96a14a40b6f83aa2a921	-	b0040dcddca66c93142559bc7952f1fbefe4bd895d647af80d493af2a654ee42
native-encode-destination-count-zero	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-destination-count-zero	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	destination-count-zero	7c6f4dd0153377863485faa862f59a263f56a4ca364491659ef2003679b931b2	-	a38b32a08734a5f7aa7d79efe6be524b134e65577f2ae721c7bc650b6a668809
native-encode-malformed-address	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-malformed-address	4141414141414141414141414141414141414141414141414141414141414141	-	error	7	-	frozen-order	malformed-address	7a2252d3fbef7425add4f9a8a566faa3d875c1e8e859cbcd240cd53da22004c9	-	53598f70abd41e4b8a59a24de152938edafbec740a0ce11beede349f6efd2ae5
native-encode-non-ascii-address	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-non-ascii-address	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	non-ascii-address	6a558c38b73e6c4f98db5da13de120c113654b40cd883c0f8cfb3cb44912e9d7	-	b8be79ea00129219f5d856f5be40ff47a9a6c1adc9d3be02607e2a62655a5a79
native-encode-noncanonical-address	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-noncanonical-address	4141414141414141414141414141414141414141414141414141414141414141	-	error	7	-	frozen-order	noncanonical-address	0cf48f8af08bb67a5f934687efc55995d51149469a3e74d25db6f38afae94534	-	3c846fffb0e184c104430b7aca8c4820ec4f2cb77aef369e1f4d8db4a1f9bfe6
native-encode-nonconfidential-address	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-nonconfidential-address	4141414141414141414141414141414141414141414141414141414141414141	-	error	7	-	frozen-order	nonconfidential-address	f0007f30e3f89a0ba18d269f739a42c0e025766a00f25ee6d6ecc8b82e7423c7	-	4a5c1f1797634b9eedf53630ac0dd1b90f809369c99ebb18c501cc6b1173b389
native-encode-numeric-ordering	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-numeric-ordering	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	numeric-ordering	ecbf6b0a93c94aa9ef253c72aafe22f215fc971975205bc64207577f427de148	-	b5d3d6649b1b6180b43e1cd3a031c33ae0947f05dc9f9c3e3b06df1dd72519c7
native-encode-ordering-unknown-context	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-ordering-unknown-context	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	ordering-unknown-context	463bfb2685f90953120d666067ab440d7de9871d3705a389a321c8a1ba4b681b	-	7e96c57ab3ec1ea8c19fd98b440e7fd3f555c1966ef3f4f0709ea85c51be7ea7
native-encode-output-index-plus-one	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-output-index-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	output-index-plus-one	b473484a87c321ef45a1e3ac6937dbd64f64b6d04aad6cd981bb0c9a71ac315d	-	60511b0868e44734ac4de60e52176eb66a8aa1b9df26bc8f27b496601ad55143
native-encode-previous-out-of-order	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-previous-out-of-order	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	previous-out-of-order	f930fe4cf8f525809114f055d4fed21445b97bd9e0bf9b40fa3c42d700f24360	-	5c29005273b2b4284ffa049259c5725c64c3e565bd8382ed980b34ce164daddd
native-encode-selected-count-plus-one	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-selected-count-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	selected-count-plus-one	e4262643af98fc15baf2986232763b04d22f4085136bb2f79d8ed20d174f6dc7	-	640e7f4b9899e6337a1d34c8e99d7e1c29408a4dd9fa19b98de1077094a96e31
native-encode-selected-count-zero	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-selected-count-zero	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	selected-count-zero	328e86ae04a9c219a896cf7cb4b54600d4ade16115d0644af4e83fca71819719	-	662b059f0c0089c8bafe4753b19ec33b2c36220367f658d25609926c188fccd9
native-encode-selected-duplicate	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-selected-duplicate	4141414141414141414141414141414141414141414141414141414141414141	-	error	3	-	frozen-order	selected-duplicate	201e36b899a565029b75ccd5ff1439e752ba53b5f25abb26f2de7b9f95e5553d	-	429c255ed3f829f29b96cbf8273bffe2516310dffd175382baa6d30e9ab8b7a3
native-encode-transaction-length-plus-one	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-transaction-length-plus-one	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	transaction-length-plus-one	db4955971cd13f6009d9a5dd97827edb1ea29b782f3113df68ee4ea8051195de	-	f13906c3cc653d24609c707edc4d175f6e8ab0cc6eaa5689ed84e15cc7e5f4f7
native-encode-transaction-length-zero	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-transaction-length-zero	4141414141414141414141414141414141414141414141414141414141414141	-	error	4	-	frozen-order	transaction-length-zero	40127140b618e81c9ef4245af61707b5504804f8376c4ce36954a9635b319624	-	1a43c4fe688cbed10d18ae19fbd032d1f87ec0644c14c427eb49c791ee1588e9
native-encode-unknown-context-bad-address	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-unknown-context-bad-address	4141414141414141414141414141414141414141414141414141414141414141	-	error	6	-	frozen-order	unknown-context-bad-address	7bbae6cb8a2bc45852466657eea4a7e7d53e2726b5fe149fc716b91cc64a88e7	-	b4c099275439e693fbafeb116377933901388d3ef2d212a511e77018d60f4180
native-encode-unknown-manifest	native-raw-encoder	encode	native	symbolic-only	-	model-native-encode-unknown-manifest	4141414141414141414141414141414141414141414141414141414141414141	-	error	6	-	frozen-order	unknown-manifest	c0ae84a766de0aae13553cf839a86599e2b6a157ea09c04540a528d9657654f2	-	9821fb8322f34ba5eaff1c51d7bbb64a70ce9cc10ff7ec6bc7e3bead4c6fdb8b
